url,backlinks,refpages,pages,valid_pages,text,image,nofollow,ugc,sponsored,dofollow,redirect,canonical,gov,edu,rss,alternate,html_pages,links_internal,links_external,refdomains,refclass_c,refips,linked_root_domains
www.ks95.com,7980,5040,21228,21228,7958,1557,1391,20,0,6567,10,1,2,13,0,0,20440,837357,594470,1758,865,1075,1615
www.ksahin.com,48,35,151,151,48,20,16,14,0,22,0,0,0,0,0,0,11,681,172,14,22,23,7
ww43.lagrandeporte.com,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
otmag.ru,520,154,1849,1849,520,38,440,0,0,80,0,0,0,1,0,0,1841,312472,3287,51,47,51,9
massageandspawithextraservice.nethouse.ru,90,90,24,24,90,0,10,0,0,80,0,0,0,0,0,0,24,154,58,16,18,18,13
www.biasion.net,43,33,39,39,43,7,18,0,0,25,0,0,0,0,0,0,31,439,159,7,6,6,5
www.clubseatleon.net,14689,7749,74718,74718,14671,573,5173,230,0,9490,18,0,0,14,0,0,73799,4347786,469877,466,335,395,3517
cmg.net,7099,3515,61,61,5341,398,150,1,0,5191,1744,0,4,5,0,0,23,12,25,113,112,128,2
bwvkx.bigbigbags.net,3,3,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0
bigroof.net,254,160,790,790,252,209,137,0,0,115,2,0,0,1,0,0,779,15314,2335,54,53,57,162
syld.cbpt.cnki.net,412,207,1143,1142,412,49,0,0,0,412,0,0,0,56,0,0,1094,111463,388,26,28,30,2
www.birdphotographers.net,62302,40998,772569,772567,62276,2425,3494,267,0,58775,5,0,0,10,21,0,771087,104350792,17460655,480,412,486,4155
archives.bodleian.ox.ac.uk,22227,17643,0,0,20727,34,8738,11,0,11989,1492,0,3672,1063,8,0,0,0,0,1034,946,1135,0
umn.ua,5646,4144,1185,1184,5646,623,1245,9,3,4398,0,0,1,15,0,0,963,96740,22600,588,465,553,190
cityplumbers.ie,58,40,39,39,58,14,22,0,0,36,0,0,0,0,0,0,25,1902,70,27,27,28,16
clarechampion.ie,42144,21539,118545,118545,40400,3685,9121,66,0,31274,98,1591,0,198,15,2,113764,3579064,607327,2648,1394,1777,405
www.cliffordlearning.ie,12,12,14,14,12,11,0,0,0,12,0,0,0,0,0,0,10,190,30,1,2,2,5
www.ashwidea.in,124,67,337,337,120,1,16,0,0,104,1,0,0,0,0,0,320,11427,1458,14,23,24,45
jaago.bareillyonline.in,25,25,1,1,25,0,0,0,0,25,0,0,0,0,0,0,1,228,136,1,1,1,115
www.bazaarfresh.in,710,695,1572,1572,710,432,432,0,0,278,0,0,0,0,0,0,1432,127969,7143,291,98,110,15
www.maxwoman.in,24612,24313,16912,16909,24612,316,294,0,0,24318,0,0,0,0,0,0,15906,179204,80442,161,91,93,54
mediafile.in,199,146,75,75,199,1,147,0,0,52,0,0,0,0,0,0,58,4130,323,42,43,47,16
bethelag.in,477,327,4409,4408,475,52,289,4,0,186,0,0,0,0,0,0,4076,210902,38109,166,130,145,37
meemee.in,6545,3724,7221,7214,6494,3313,2255,8,6,4231,20,0,0,0,0,0,429,27587,2503,487,231,267,14
minnionstech.in,2745,1359,2314,2314,2741,39,34,0,0,2707,2,0,0,0,0,0,2012,83398,26103,110,47,50,166
app.mraiorg.in,7,5,13,13,7,0,4,0,0,3,0,0,0,0,0,0,12,44,7,2,4,4,7
www.broadwaytravels.in,2,2,9,9,2,0,2,0,0,0,0,0,0,0,0,0,8,114,18,2,2,2,2
buildercart.in,93,56,5212,5210,93,13,93,0,0,0,0,0,0,0,0,0,413,51507,1057,25,6,6,69
csi-csa.com,290,247,230,230,281,263,8,0,0,273,0,0,0,0,0,0,203,14037,103,177,27,33,2
www.csisimple.com,5,3,79,79,5,0,1,0,0,4,0,0,0,0,0,0,77,920,338,2,3,3,23
daenc.com,262,228,19,19,262,14,85,2,0,177,0,0,0,2,0,0,0,9,0,112,103,120,0
dafalo.com,644,255,4461,4461,586,48,187,0,0,399,17,0,0,0,41,0,1523,39114,37918,30,40,52,56
www.css-happylifezero.com,16,4,1,1,16,0,1,0,0,15,0,0,0,0,0,0,0,1,0,3,3,3,0
en.ct-ikedacp.com,7,7,39,38,7,0,0,0,0,7,0,0,0,0,0,0,38,408,146,1,2,2,2
express.net.vn,423,136,2,2,423,13,2,0,0,421,0,0,0,3,0,0,1,12,11,55,62,68,5
oboi.ws,5087,3288,1808858,1808855,5078,1667,2852,30,0,2217,7,0,0,19,2,0,1046799,16392694,8940,607,270,338,3
www.thoidaimoi.net.vn,14387,703,985,985,14369,24,5,0,0,14364,2,8,0,0,0,6,984,36497,25158,8,21,29,250
smallgames.ws,151148,31566,1154711,1154670,151134,86389,71354,391,0,79779,7,0,6,8,6,0,735365,96379697,3613554,1297,558,680,442
nguyenhopphat.vn,1188796,160477,6455,6454,1188794,6111,2721,0,0,1186073,2,0,0,0,0,0,3289,9702,0,2139,100,119,0
xenforo.ws,350802,350799,0,0,350802,9,28,0,0,350774,0,0,0,0,0,0,0,0,0,31,45,47,0
whattheflip.wtf,8,7,3,3,8,0,0,0,0,8,0,0,0,0,0,0,3,34,10,3,3,3,4
www.xn--80afhh0dwc.xn--90ais,42663,37447,3,3,42372,645,10504,3074,0,31868,286,0,25,1733,0,3,0,2,0,4379,2856,4143,0
xn--80agwgj.xn--90ais,0,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,47,950,154,0,0,0,0
xn-----6kcackbrchzhatuteby2ccy4e.xn--p1ai,96,51,6531,6531,93,3,78,0,0,15,3,0,0,0,0,0,2421,520307,8181,40,9,10,4
universoespejo.com,1274,771,13,13,1274,2,7,0,0,1267,0,0,0,0,0,0,1,19,0,10,24,30,0
universumglobal.com,211102,142146,244959,244618,210660,9711,12189,119,39,198422,228,153,61,59923,2,0,18543,1049203,287623,6207,3818,5327,150
unixpackages.com,2801,1566,77885,77845,2779,190,973,15,0,1806,12,0,0,60,0,0,42912,143750,8281,357,316,351,413
unlabelit.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
www.unleesh.com,335,225,53,53,335,83,62,1,0,273,0,0,0,10,0,0,50,568,531,74,81,94,65
ufabetearth.com,1292,1104,330,329,1291,37,343,183,0,948,1,0,4,93,0,0,322,9194,1031,314,189,241,11
ufcfightpass.com,993234,748424,7068,7068,989377,45463,79307,809,227,909888,3654,0,14,46,0,0,7054,4783,5868,7074,3854,6415,11
www.ugg.com,927823,425607,1182318,1182292,925125,444788,123554,2430,1436,801112,1505,273,24,5830,0,0,1090083,152260090,2640943,19904,8233,14199,180
www.fashiongoodtimes.com,238,230,411,411,235,12,149,3,1,86,1,0,0,0,0,0,384,29506,3800,106,71,86,167
www.fashionsfinest.com,50671,27189,503854,503736,50625,46041,40399,3,3,10224,43,2,1,6,1,0,498121,29494796,7785494,1114,584,712,2187
www.fiamag.com,1412,721,12561,12561,1412,37,442,209,0,936,0,0,0,0,0,0,12218,791796,24461,68,63,78,7
fastbikebits.com,2150,1293,198,198,2148,253,478,135,0,1670,2,0,0,0,0,0,126,12486,395,254,189,213,6
fictasy.com,47,47,93,93,47,0,47,0,0,0,0,0,0,0,0,0,81,3647,918,4,17,20,32
www.fastfoodstartup.com,14874,14511,198,198,14874,53,180,0,0,14694,0,0,0,0,0,0,183,973,5136,35,33,35,11
wifpdx.org,229,107,179,178,229,34,48,0,0,181,0,0,0,0,0,0,154,3009,705,56,62,65,75
sat.wikipedia.org,1987636,1949078,99723,99722,1986439,29201,789,18,0,1985650,108,775,5,5186,0,1,95803,4677062,6373847,1515,950,1349,11332
www.wikia.org,16357761,16349446,221567,221567,16357759,49,4250,2,0,16353509,0,0,0,1,0,0,221527,787937,661237,554,280,344,4
wikichristian.org,290379,145186,1740621,1740603,290378,317,8149,159,0,282175,1,0,0,51,0,0,1512231,17538368,2813145,646,400,469,1736
beincrypto.ru,93662,69537,4981,4981,91446,9801,7914,28,2,83529,47,0,0,3,0,0,655,57302,17536,654,1043,2774,193
sochi.belais.ru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
best-of-africa.ru,572,179,31,31,514,22,423,6,0,91,1,0,0,0,57,0,0,27,0,48,49,50,0
best-torrent.ru,705,697,1136,1135,502,4,376,58,0,126,203,0,0,0,0,0,26,1422,28,113,108,116,3
www.comet-a.ru,571,336,7648,7648,563,37,276,0,0,287,6,0,0,0,0,0,7023,1116308,30004,124,93,100,31
comicshouse.ru,80,17,7,7,79,1,18,0,0,61,0,1,0,0,0,0,4,11,0,14,11,13,0
apothetirio.lib.uoi.gr,32141,21302,208811,208596,24909,4,97,3,0,24812,7232,0,1,23638,0,0,205240,8133072,2090878,130,120,144,10
www.chipkarte.at,11360,4417,1247,1247,11341,1500,1637,51,8,9696,15,0,4,1243,4,0,682,12984,3256,820,483,580,43
www.nilsson.co.at,1139,499,176,176,1139,227,422,0,0,717,0,0,0,0,0,0,156,5080,268,109,73,85,8
rexer.com.ar,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,0,44,1042,9,0,0,0,0
rf-argentina.com.ar,497,489,113,113,497,11,12,0,0,485,0,0,0,0,0,0,100,1878,540,38,48,56,21
rome.com.ar,27,14,454,451,27,12,0,0,0,27,0,0,0,0,0,0,441,15246,2202,10,10,10,6
www.sanisidrolonas.com.ar,779,586,1756,1756,779,142,371,1,0,408,0,0,0,4,0,0,1716,32008,6697,107,119,130,9
www.storenx.com.ar,328,239,13426,13406,150,0,0,0,0,150,171,7,0,0,0,0,10178,149787,11933,1,1,1,19
www.tartarugaaccesorios.com.ar,30,22,382,382,30,4,17,0,0,13,0,0,0,0,0,0,287,4225,1379,15,13,14,14
www.eifler.at,213,201,39,39,213,2,41,3,0,172,0,0,0,0,0,0,36,822,142,60,54,58,7
www.cowasjp.com,3231,1299,35474,35463,3231,101,1766,2,0,1465,0,0,0,1,0,0,18313,307550,20592,121,102,121,70
tunezjam.com,37996,37134,29205,29198,37975,235,36398,12,0,1569,21,0,2,12,0,0,25739,2045570,1669,545,254,362,10
